acousticness,liveness,speechiness,tempo,key,valence,loudness,instrumentalness,duration_ms,time_signature,danceability,energy,title,popularity
0.39,0.1,0.0549,134.019,11,0.0668,-6.656,0.866,336716,4,0.758,0.878,Cloudy - Kelbin Remix,37
0.0515,0.0598,0.0645,139.979,1,0.0585,-7.721,0.229,146571,4,0.81,0.836,Rumble,82
0.435,0.1,0.34,123.339,11,0.662,-3.944,0.0599,336230,4,0.863,0.773,yoni,28
0.832,0.133,0.054,169.81,5,0.522,-21.979,0.904,289960,4,0.652,0.244,Night Walk,21
0.306,0.135,0.139,119.975,0,0.769,-7.812,0,291273,4,0.625,0.624,Nduzangou,0
0.236,0.108,0.0336,140.063,11,0.742,-6.719,0.0661,174417,4,0.708,0.872,Looking at Your Pager,51
0.88,0.168,0.0306,80.017,9,0.077,-12.271,0.461,107853,4,0.395,0.338,Thou Art With Me,11
0.0311,0.0914,0.044,120.862,10,0.0557,-8.632,0.765,272867,4,0.437,0.601,Black Rainbow,20
0.925,0.0992,0.233,142.199,4,0.753,-25.631,0.831,180279,4,0.728,0.085,Fairy Tale,15
0.000862,0.0607,0.0442,126.028,1,0.196,-4.891,0.467,291401,4,0.71,0.866,bda creature,27
0.989,0.118,0.117,126.103,10,0.451,-20.584,0.121,129865,4,0.857,0.0986,Arp Blocks,32
0.386,0.088,0.0296,145.295,2,0.799,-11.349,0.0375,308323,4,0.562,0.604,How Can I?,33
0.0514,0.285,0.0499,124.614,8,0.762,-12.611,0.0166,287078,4,0.615,0.671,Yedin Beni,17
0.439,0.102,0.0268,125.115,7,0.656,-8.169,0.0082,235387,4,0.761,0.637,Congratulations,57
0.0287,0.12,0.0896,149.98,8,0.971,-8.678,0.861,681038,4,0.742,0.718,Sunnys Time - Prince Nifty Saddle up Mix,11
0.00707,0.0694,0.064,131.979,7,0.351,-5.441,0.879,528415,4,0.802,0.968,QuoVadis,20
0.404,0.0886,0.0502,134.022,7,0.658,-11.139,0.86,174735,4,0.678,0.538,Crimson,34
0.0444,0.347,0.304,128.059,11,0.38,-8.278,0.000286,316865,4,0.818,0.767,Night Echoes,13
0.0749,0.0958,0.0649,113.657,11,0.967,-6.156,8.12e-05,359613,4,0.795,0.818,"I'll Keep My Light in My Window - 12"" Version",29
0.53,0.223,0.0304,94.002,6,0.887,-4.953,0.00355,150827,4,0.493,0.851,RED LADY,37
0.0328,0.0765,0.0334,129.613,10,0.421,-11.029,0.0124,244946,4,0.627,0.714,Never Come Back - Koreless Remix,0
0.679,0.115,0.0441,95.119,7,0.587,-14.358,0.652,212907,4,0.64,0.405,Observatory Crest,39
0.113,0.0659,0.0769,95.041,10,0.733,-12.751,1.84e-05,152600,4,0.77,0.862,I Don't Know How (To Say I Love You),0
0.12,0.188,0.0281,101.059,5,0.961,-9.728,0.253,271427,4,0.672,0.689,Such A Funny Night,3
0.86,0.163,0.0465,115.799,10,0.917,-7.698,0.934,157733,4,0.739,0.415,Tilim m'dohm,5
0.000855,0.0607,0.0441,126.028,1,0.196,-4.891,0.466,291401,4,0.71,0.866,bda creature,7
0.0356,0.28,0.0292,137.952,1,0.323,-15.486,0.835,220502,4,0.428,0.265,Faces in Reflection No.1,11
0.413,0.154,0.0347,138.745,4,0.427,-17.839,0.0185,142115,4,0.407,0.222,Faces in Reflection No.2,8
0.038,0.123,0.781,150.067,2,0.169,-6.505,0,91200,4,0.864,0.613,Yoga,42
0.71,0.66,0.162,102.269,0,0.725,-6.284,0.00111,116040,4,0.499,0.953,Love Brings Out the Best of You,17
0.185,0.173,0.0377,131.987,5,0.555,-10.571,0.0371,221846,4,0.769,0.544,Always There,36
0.924,0.116,0.0646,90.311,5,0.0893,-26.517,0.815,498480,3,0.432,0.126,The Big Wind,11
0.76,0.124,0.039,102.628,0,0.819,-15.283,0.582,476067,4,0.419,0.466,The Almoravid,6
0.0378,0.109,0.0427,172.052,7,0.485,-13.197,0.68,100963,4,0.512,0.64,AVAILABLE,19
0.00114,0.0835,0.0913,128.998,6,0.353,-12.301,0.878,530324,4,0.776,0.736,Never Come Back - Floating Points Remix,0
0.843,0.0903,0.13,120.932,7,0.682,-16.077,4.81e-06,172334,4,0.921,0.233,Prøv og Gør Ligesom Jeg,0
0.583,0.205,0.0767,179.687,5,0.705,-5.478,0.0875,235250,4,0.397,0.507,Mam Yinne Wa,36
0.0515,0.112,0.139,145.309,10,0.523,-6.197,0.688,304373,4,0.462,0.88,Off The Beaten Track,28
0.0594,0.0953,0.0445,116.1,10,0.78,-7.456,0.888,430811,4,0.672,0.984,Elephant's Easy Moonwalk Through the Night,2
0.613,0.105,0.0402,128.005,11,0.461,-8.795,0.863,465938,4,0.754,0.955,Never Come Back - Four Tet Remix,0
0.00462,0.111,0.0443,125.012,1,0.577,-5.875,0.0266,467587,4,0.602,0.881,Let It Happen,73
0.172,0.278,0.164,89.219,1,0.682,-15.278,0,213827,4,0.452,0.33,Au Jus,0
0.632,0.0865,0.0518,120.04,1,0.592,-10.476,0.876,429000,4,0.792,0.813,Parola - Rework,38
0.141,0.0899,0.224,146.936,1,0.732,-10.45,0.562,223835,4,0.831,0.468,Dub of Jerusalem,10
0.556,0.117,0.0335,114.307,8,0.639,-18.562,0.676,178000,4,0.522,0.231,Fly,40
0.359,0.106,0.052,115.599,9,0.948,-10.942,0.0136,179290,4,0.562,0.817,Agora ou Nunca Mais,37
0.538,0.1,0.076,81.981,8,0.771,-8.211,0,210580,4,0.531,0.773,İkimiz Bir Fidanız,33
0.897,0.411,0.0362,103.256,4,0.323,-10.946,0.000963,129866,4,0.188,0.465,Jardins,16
0.994,0.079,0.0437,67.224,5,0.036,-27.63,0.969,1411791,4,0.061,0.00978,Prati Bagnati Del Monte Analogo,30
0.0303,0.299,0.0537,117.349,1,0.964,-13.16,0.723,253179,4,0.815,0.575,Won't You Serve Him,3
0.00205,0.0838,0.0703,128.014,1,0.198,-8.997,0.931,411819,4,0.863,0.601,Cloudy,43
